,Danceability,Energy,Valence,Tempo,Song ID,Date Added
148,0.245,0.64,0.105,135.739,2u0CelO5c81XS7z3dGpHbS,2019-11-19
149,0.651,0.949,0.61,113.257,2yzPBlE5UXK2sqvnNM9QQ0,2019-11-18
150,0.787,0.659,0.649,126.018,2cxJK1VLiPMNQLDs2PzIaQ,2019-11-16
151,0.677,0.744,0.631,124.08,1DFD5Fotzgn6yYXkYsKiGs,2019-11-15
152,0.88,0.751,0.884,117.948,2tnVG71enUj33Ic2nFN6kZ,2019-11-15
153,0.505,0.858,0.43,95.054,4fEcZEuKJiYitzaI5l1KY8,2019-11-15
154,0.457,0.613,0.132,105.11,1Hb1IJ9bBCa6wo3fRtexnJ,2019-11-09
155,0.577,0.827,0.711,122.004,4PIwFXVe1zBAQkEsbGnFcZ,2019-11-08
156,0.844,0.767,0.342,125.989,20WcuVfTh0QFkIsJUncdON,2019-11-07
157,0.843,0.805,0.615,94.946,0I3q5fE6wg7LIfHGngUTnV,2019-11-07
158,0.261,0.828,0.634,94.073,0EOd1lggN0C38ExZq7nnFJ,2019-11-07
159,0.333,0.726,0.288,93.228,44XRL3jml33IM6VMulwr6h,2019-11-03
160,0.378,0.862,0.27,80.399,1ELP6ZNoyEcvdysozURQZN,2019-11-03
161,0.612,0.807,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,2019-11-03
162,0.759,0.849,0.73,122.033,1wAXODAAL6hY64ZdhrnjBO,2019-10-31
163,0.634,0.69,0.645,94.988,6OtCIsQZ64Vs1EbzztvAv4,2019-10-25
164,0.72,0.727,0.481,99.994,4QeoDcR16IHpmmgFGQDrCp,2019-10-25
165,0.401,0.872,0.472,104.592,7dOeiXeTSfA1ixaYmQcWu7,2019-10-25
166,0.664,0.705,0.477,122.016,0gWqlhTvn7XbkseUhKA3bl,2019-10-25
167,0.593,0.74,0.502,118.008,1NrJYpdAi7uosDRPmSYrsG,2019-10-25
168,0.574,0.899,0.679,170.097,1XL5ztfF28iR5L3Xn9HfXX,2019-10-25
169,0.529,0.948,0.65,146.024,5XRHGXut00SrJUFmcn2lQF,2019-10-25
170,0.516,0.764,0.376,148.021,1TzTPDarzRW6my12k7HrPh,2019-10-25
171,0.404,0.97,0.196,95.047,78EgbJmQUvd6B3Z2L7JD54,2019-10-23
172,0.545,0.97,0.757,150.029,7l8kzGmgUSHZCM1XMfFhOZ,2019-10-23
173,0.567,0.572,0.205,138.062,4j8gmCSLLy0TSFg2brV01g,2019-10-23
174,0.526,0.705,0.413,134.947,57nKL06bKwjaM5Y0aMtY9v,2019-10-23
